inventory_id,product_id,warehouse,stock_quantity,quality_flag
INV-00096,PRD-0048,WH-B,370.0,False
INV-00097,PRD-0048,WH-C,203.0,False
INV-00098,PRD-0048,WH-A,233.0,False
INV-00099,PRD-0049,WH-C,54.0,False
INV-00100,PRD-0049,WH-A,138.0,False
INV-00101,PRD-0049,WH-B,172.0,False
INV-00102,PRD-0050,WH-A,39.0,False
INV-00103,PRD-0051,WH-C,287.0,False
INV-00104,PRD-0051,WH-B,25.0,False
INV-00105,PRD-0051,WH-A,-259.0,True
INV-00106,PRD-0052,WH-A,24.0,False
INV-00107,PRD-0052,WH-B,41.0,False
INV-00108,PRD-0053,WH-C,140.0,False
INV-00109,PRD-0054,WH-B,105.0,False
INV-00110,PRD-0055,WH-A,73.0,False
INV-00111,PRD-0055,WH-C,280.0,False
INV-00112,PRD-0055,WH-B,31.0,False
INV-00113,PRD-0056,WH-B,88.0,False
INV-00114,PRD-0056,WH-C,152.0,False
INV-00115,PRD-0057,WH-A,123.0,False
INV-00116,PRD-0057,WH-B,59.0,False
INV-00117,PRD-0057,WH-C,60.0,False
INV-00118,PRD-0058,WH-C,181.0,False
INV-00119,PRD-0058,WH-B,187.0,False
INV-00120,PRD-0059,WH-A,125.0,False
INV-00121,PRD-0059,WH-C,48.0,False
INV-00122,PRD-0059,WH-B,62.0,False
INV-00123,PRD-0060,WH-C,98.0,False
INV-00124,PRD-0060,WH-B,109.0,False
INV-00125,PRD-0060,WH-A,148.0,False
