order_item_id,order_id,product_id,quantity,unit_price,item_total,quality_flag
OI-0001174,ORD-000294,PRD-0031,3,130.03,390.09,False
OI-0000050,ORD-000100,PRD-0057,3,464.07,1392.21,True
OI-0000935,ORD-000379,PRD-0059,3,241.74,725.22,False
OI-0000159,ORD-000079,PRD-0040,4,101.99,407.96,False
OI-0000141,ORD-000080,prod_0006,5,19.43,97.15,False
OI-0000248,ORD-000441,PRD-0012,3,108.15,324.45,False
OI-0000329,ORD-000032,PRD-0023,3,122.0,366.0,False
OI-0000954,ORD-000487,prod_0006,1212,19.43,23557.82,True
OI-0000694,ORD-000383,PRD-0001,5,208.93,1044.65,False
OI-0000524,ORD-000273,PRD-0043,6,110.55,674.73,False
OI-0001020,ORD-000270,PRD-0021,1,53.87,53.87,False
OI-0000356,ORD-000067,PRD-0024,6,130.89,785.34,False
OI-0000066,ORD-000173,PRD-0040,8,101.99,825.03,False
OI-0000913,ORD-000062,PRD-0020,2,262.39,524.78,False
OI-0000346,ORD-000267,PRD-0046,3,62.18,186.54,False
OI-0000255,ORD-000087,PRD-0048,6,308.22,1849.32,False
OI-0000600,ORD-000007,PRD-0054,3,201.98,605.94,False
OI-0000696,ORD-000383,PRD-0001,8,208.93,1676.95,False
OI-0000382,ORD-000266,PRD-0053,8,290.66,2325.28,False
OI-0000097,ORD-000155,PRD-0034,5,76.39,381.95,False
OI-0000185,ORD-000302,PRD-0055,6,63.6,381.6,False
OI-0000332,ORD-000154,PRD-0047,3,-31.78,-95.34,False
OI-0000592,ORD-000090,PRD-0045,4,347.66,1390.64,False
OI-0000164,ORD-000475,PRD-0035,6,49.16,294.96,False
OI-0000487,ORD-000127,PRD-0058,8,331.5,2652.0,False
OI-0000625,ORD-000389,PRD-0026,3,473.43,1420.29,False
OI-0000222,ORD-000181,PRD-0031,5,130.03,650.15,False
OI-0000244,ORD-000498,PRD-0060,2,368.92,737.84,False
OI-0000033,ORD-000250,PRD-0054,7,201.98,1413.86,False
OI-0000157,ORD-000324,PRD-0023,3,122.0,366.0,False
OI-0000724,ORD-000362,PRD-0052,6,130.75,784.5,False
OI-0000963,ORD-000474,PRD-0004,1,37.34,37.34,False
OI-0000278,ORD-000057,PRD-0017,5,43.0,215.0,False
OI-0000765,ORD-000165,PRD-0031,-1,130.03,130.03,False
OI-0001173,ORD-000386,PRD-0048,944,308.22,1849.32,True
OI-0001146,ORD-000345,PRD-0058,2,331.5,663.0,False
OI-0000366,ORD-000095,PRD-0055,7,63.6,445.2,False
OI-0001055,ORD-000420,PRD-0041,8,380.19,3041.52,False
OI-0000266,ORD-000275,PRD-0041,1,380.19,380.19,False
OI-0000276,ORD-000057,PRD-0059,3,241.74,725.22,False
OI-0000810,ORD-000471,PRD-0028,3,323.11,969.33,False
OI-0000707,ORD-000220,PRD-0021,5,53.87,269.35,False
OI-0001046,ORD-000390,PRD-0031,2,130.03,260.06,False
OI-0000900,ORD-000172,PRD-0012,5,108.15,577.53,False
OI-0001128,ORD-000446,PRD-0030,3,20.49,61.47,False
OI-0000567,ORD-000197,PRD-0040,5,,509.95,True
OI-0000916,ORD-000048,PRD-0002,5,317.64,1588.2,False
OI-0000179,ORD-000443,PRD-0035,8,49.16,402.06,False
OI-0000424,ORD-000030,PRD-0007,4,257.12,1028.48,False
OI-0001231,ORD-000107,PRD-0046,2,62.18,124.36,False
OI-0000995,ORD-000237,PRD-0055,5,63.6,318.0,True
OI-0001170,ORD-000192,PRD-0008,7,57.98,405.86,False
OI-0001103,ORD-000078,PRD-0031,1,130.03,130.03,False
OI-0000089,ORD-000370,PRD-0033,3,120.67,362.01,False
OI-0000667,ORD-000278,PRD-0054,5,201.98,1009.9,False
OI-0001043,ORD-000054,PRD-0060,7,368.92,2582.44,False
OI-0000429,ORD-000193,PRD-0036,5,0.0,0.0,False
OI-0000478,ORD-000142,PRD-0020,6,262.39,1574.34,False
OI-0000680,ORD-000203,PRD-0030,1,20.49,20.49,False
OI-0000631,ORD-000104,PRD-0023,4,122.0,488.0,False
OI-0000286,ORD-000081,PRD-0041,5,380.19,1900.95,False
OI-0001198,ORD-000373,PRD-0013,7,228.07,1596.49,False
OI-0000359,ORD-000403,PRD-0022,8,25.94,207.52,False
OI-0000267,ORD-000394,PRD-0024,8,130.89,1047.12,False
OI-0000060,ORD-000424,PRD-0056,3,87.59,262.77,False
OI-0000498,ORD-000256,PRD-0017,2,43.0,86.0,False
OI-0000778,ORD-000121,PRD-0008,4,57.98,231.92,False
OI-0000728,order000300,PRD-0054,4,201.98,807.92,False
OI-0000439,ORD-000463,PRD-0050,5,10.99,54.95,False
OI-0000381,order000232,PRD-0004,7,37.34,261.38,False
OI-0000515,ORD-000229,PRD-0007,5,257.12,1285.6,False
OI-0000611,ORD-000178,PRD-0044,2,325.75,651.5,False
OI-0000678,ORD-000184,PRD-0032,7,294.41,2060.87,False
OI-0001229,ORD-000072,PRD-0031,6,130.03,780.18,False
OI-0001218,ORD-000122,PRD-0039,6,204.28,1225.68,False
OI-0000480,ORD-000495,PRD-0011,5,175.82,879.1,False
OI-0000378,order000232,PRD-0055,3,63.6,190.8,False
OI-0000084,ORD-000330,PRD-0014,1,85.64,107.32,False
OI-0000130,ORD-000496,PRD-0038,3,336.62,1009.86,False
OI-0001232,ORD-000107,PRD-0015,3,,466.75,False
OI-0000717,ORD-000335,PRD-0003,3,,146.73,False
OI-0001006,ORD-000500,PRD-0004,2,37.34,74.68,False
OI-0000520,ORD-000417,PRD-0032,1,294.41,294.41,False
OI-0000261,ORD-000016,PRD-0050,1,10.99,44.42,False
OI-0000590,ORD-000112,PRD-0044,6,325.75,1954.5,False
OI-0000603,order000393,PRD-0024,8,130.89,1047.12,False
OI-0001089,ORD-000089,PRD-0050,4,10.99,43.96,False
OI-0000615,ORD-000185,PRD-0012,4,108.15,432.6,False
OI-0000139,ORD-000080,PRD-0050,5,10.99,54.95,False
OI-0000293,ORD-000308,PRD-0048,4,308.22,1232.88,False
OI-0001150,ORD-000236,PRD-0010,1,146.75,146.75,False
OI-0000142,ORD-000418,PRD-0014,6,85.64,513.84,False
OI-0000775,ORD-000233,PRD-0040,8,101.99,815.92,False
OI-0001031,ORD-000402,PRD-0050,6,10.99,65.94,False
OI-0001154,ORD-000022,PRD-0005,4,283.26,1133.04,False
OI-0000140,ORD-000080,PRD-0030,2,20.49,40.98,False
OI-0000440,ORD-000109,PRD-0051,6,20.39,122.34,False
OI-0000936,ORD-000379,PRD-0045,6,347.66,2085.96,False
OI-0000225,ORD-000181,PRD-0024,1,130.89,130.89,False
OI-0000395,ORD-000395,PRD-0032,7,294.41,2060.87,False
OI-0000275,ORD-000339,PRD-0056,-1,87.59,87.59,False
OI-0000324,ORD-000127,PRD-9023,5,128.37,641.85,False
OI-0000340,ORD-000423,PRD-0020,2,262.39,524.78,False
OI-0000614,ORD-000422,PRD-0031,6,130.03,780.18,False
OI-0000715,ORD-000485,PRD-0040,7,101.99,713.93,False
OI-0000399,ORD-000473,PRD-0007,1,257.12,257.12,False
OI-0001114,ORD-000244,PRD-0056,8,87.59,700.72,False
OI-0000905,ORD-000099,PRD-0008,1,57.98,57.98,False
OI-0000630,ORD-000104,PRD-0023,2,122.0,244.0,False
OI-0000674,ORD-000123,PRD-0004,1,37.34,37.34,False
OI-0000683,ORD-000312,PRD-0012,5,108.15,540.75,False
OI-0000740,ORD-000180,PRD-0037,7,10.24,71.68,False
OI-0000837,ORD-000143,PRD-9032,3,347.66,1042.98,False
OI-0000595,ORD-000269,PRD-0021,5,53.87,269.35,False
OI-0000637,ORD-000199,prod_0006,4,19.43,77.72,False
OI-0000524,ORD-000273,PRD-0043,6,110.55,674.73,False
OI-0000619,ORD-000288,PRD-0053,5,290.66,1453.3,False
OI-0000537,ORD-000223,PRD-0039,4,204.28,817.12,False
OI-0000931,ORD-000261,prod_0006,8,19.43,155.44,False
OI-0000322,ORD-000317,PRD-0002,4,317.64,1270.56,False
OI-0000377,ORD-000024,PRD-0001,3,208.93,626.79,False
OI-0001204,ORD-000088,PRD-0008,5,57.98,337.65,False
OI-0000938,ORD-000289,PRD-0031,8,130.03,1040.24,False
OI-0000886,ORD-000458,PRD-0033,1,120.67,120.67,False
OI-0000040,ORD-000094,PRD-0047,6,-31.78,-190.68,False
OI-0000031,ORD-000118,PRD-0018,3,481.81,1445.43,False
OI-0000243,order000138,PRD-0008,3,57.98,173.94,False
OI-0000848,ORD-000096,PRD-0050,6,10.99,65.94,False
OI-0000137,ORD-000034,PRD-0010,8,146.75,1174.0,False
OI-0000311,ORD-000366,PRD-0010,3,146.75,440.25,False
OI-0001054,ORD-000050,PRD-0043,7,110.55,773.85,False
OI-0000673,ORD-000123,PRD-0013,3,228.07,684.21,False
OI-0000362,ORD-000397,PRD-0026,8,473.43,3787.44,False
OI-0001115,ORD-000055,PRD-0018,7,481.81,3372.67,False
OI-0000919,ORD-000268,PRD-0018,5,481.81,2409.05,False
OI-0000618,ORD-000288,PRD-0012,4,108.15,432.6,False
OI-0000004,ORD-000476,PRD-0039,7,204.28,1429.96,False
OI-0000112,ORD-000083,PRD-0018,6,481.81,2890.86,False
OI-0000666,ORD-000278,PRD-0011,7,175.82,1230.74,False
OI-0001090,ORD-000089,PRD-0018,2,481.81,963.62,False
OI-0000479,ORD-000495,prod_0027,3,494.97,1484.91,False
OI-0000915,ORD-000048,PRD-0034,5,76.39,381.95,False
OI-0000827,ORD-000160,PRD-0056,0,87.59,525.54,False
OI-0000948,ORD-000063,PRD-0012,2,108.15,216.3,False
OI-0000426,ORD-000030,PRD-0016,5,180.7,903.5,False
OI-0000315,ORD-000141,PRD-0037,8,10.24,131.29,False
OI-0001024,ORD-000162,PRD-0013,2,228.07,456.14,False
OI-0000320,ORD-000317,PRD-0047,1,-31.78,-31.78,False
OI-0000858,ORD-000387,PRD-0030,2,20.49,40.98,False
OI-0000568,ORD-000197,PRD-0046,1,62.18,107.97,False
OI-0000006,ORD-000476,PRD-0036,-1,0.0,0.0,False
OI-0000101,ORD-000226,PRD-0017,2,43.0,121.26,False
OI-0000706,ORD-000220,PRD-0037,6,10.24,61.44,False
OI-0000723,ORD-000410,PRD-0042,2,88.76,177.52,False
OI-0000543,ORD-000120,PRD-0031,1,130.03,130.03,False
OI-0001035,ORD-000310,PRD-0012,8,108.15,865.2,True
OI-0000940,ORD-000163,PRD-0039,2,204.28,408.56,False
OI-0000794,ORD-000108,PRD-0013,8,228.07,1824.56,False
OI-0001084,ORD-000014,PRD-0039,8,204.28,1634.24,False
OI-0001094,ORD-000274,PRD-0017,8,43.0,344.0,False
OI-0000228,ORD-000375,PRD-0010,2,146.75,293.5,False
OI-0000773,ORD-000233,PRD-0013,1,228.07,235.66,False
OI-0000583,ORD-000291,PRD-0022,5,25.94,129.7,False
OI-0000708,ORD-000130,PRD-0005,8,283.26,2266.08,False
OI-0000468,ORD-000145,PRD-0042,2,88.76,177.52,False
OI-0000067,ORD-000031,PRD-0047,3,-31.78,-95.34,False
OI-0000068,ORD-000031,PRD-0059,8,241.74,1933.92,False
OI-0000852,ORD-000241,PRD-0019,2,85.46,170.92,False
OI-0000212,ORD-000413,PRD-9034,3,204.28,612.84,False
OI-0000013,ORD-000056,PRD-9008,4,19.43,77.72,False
OI-0001027,ORD-000218,PRD-0025,3,165.58,496.74,False
OI-0000716,ORD-000335,PRD-0008,2,57.98,115.96,False
OI-0000300,ORD-000432,PRD-0042,6,88.76,532.56,False
OI-0000573,ORD-000372,PRD-0016,3,180.7,542.1,False
OI-0000843,ORD-000222,prod_0006,3,19.43,58.29,False
OI-0001134,ORD-000254,PRD-0051,6,20.39,122.34,False
OI-0000874,ORD-000421,PRD-0047,5,-31.78,-158.9,False
OI-0000842,ORD-000447,PRD-0012,4,108.15,432.6,False
OI-0001200,ORD-000373,PRD-0053,5,290.66,1453.3,False
OI-0000430,ORD-000193,PRD-0013,8,228.07,1824.56,False
OI-0000586,ORD-000060,PRD-0049,8,199.67,1597.36,False
OI-0000757,ORD-000457,PRD-0056,1,87.59,87.59,False
OI-0001182,order000258,PRD-0013,8,228.07,1824.56,False
OI-0000421,ORD-000298,PRD-0044,1,325.75,325.75,False
OI-0001122,ORD-000051,PRD-0052,2,130.75,261.5,False
OI-0001093,ORD-000388,PRD-0042,4,88.76,355.04,True
OI-0000274,ORD-000339,PRD-0018,1,481.81,506.68,False
OI-0000452,ORD-000119,PRD-0025,5,165.58,827.9,False
OI-0000363,ORD-000397,PRD-9031,8,481.81,3854.48,False
OI-0000238,ORD-000350,PRD-0053,5,290.66,1453.3,False
OI-0001158,ORD-000314,PRD-0030,3,20.49,61.47,False
OI-0001151,ORD-000253,prod_0027,3,494.97,1484.91,False
OI-0000003,ORD-000450,PRD-0045,7,347.66,2433.62,False
OI-0000007,ORD-000476,PRD-0009,-1,128.37,1026.96,False
