order_item_id,order_id,product_id,quantity,unit_price,line_gmv,order_created_at,order_status,campaign_id,region,order_gmv,order_date,product_name,category,unit_cost,list_price,is_commercial_order
32,20,44,1,69.13,69.13,2025-01-01,completed,,Central,103.84,2025-01-01,Grocery Item 04,Grocery,46.32,69.13,True
33,20,13,1,34.71,34.71,2025-01-01,completed,,Central,103.84,2025-01-01,Home Item 05,Home,15.9,34.71,True
34,21,8,2,20.47,40.94,2025-01-01,processing,,East,40.94,2025-01-01,Electronics Item 08,Electronics,12.26,20.47,True
35,22,43,1,24.61,24.61,2025-01-01,completed,,North,24.61,2025-01-01,Grocery Item 03,Grocery,11.56,24.61,True
36,23,25,1,43.73,43.73,2025-01-01,completed,,North,43.73,2025-01-01,Sports Item 01,Sports,20.88,43.73,True
37,24,10,1,163.05,163.05,2025-01-01,completed,,East,163.05,2025-01-01,Home Item 02,Home,76.01,163.05,True
38,25,40,1,2429.76,2429.76,2025-01-01,completed,,North,2429.76,2025-01-01,Fashion Item 08,Fashion,92.66,202.48,True
39,26,19,1,152.53,152.53,2025-01-01,completed,,Central,152.53,2025-01-01,Beauty Item 03,Beauty,83.95,152.53,True
40,27,23,1,83.16,83.16,2025-01-01,completed,,East,409.26,2025-01-01,Beauty Item 07,Beauty,39.32,83.16,True
41,27,10,2,163.05,326.1,2025-01-01,completed,,East,409.26,2025-01-01,Home Item 02,Home,76.01,163.05,True
42,28,23,2,83.16,166.32,2025-01-01,processing,,East,166.32,2025-01-01,Beauty Item 07,Beauty,39.32,83.16,True
43,29,28,2,84.15,168.3,2025-01-01,processing,,South,168.3,2025-01-01,Sports Item 04,Sports,39.74,84.15,True
44,30,14,1,61.39,61.39,2025-01-01,completed,,North,61.39,2025-01-01,Home Item 06,Home,36.75,61.39,True
45,31,33,2,171.28,342.56,2025-01-01,processing,,North,342.56,2025-01-01,Fashion Item 01,Fashion,77.9,171.28,True
46,32,46,1,125.88,125.88,2025-01-01,completed,,East,125.88,2025-01-01,Grocery Item 06,Grocery,73.75,125.88,True
47,33,36,1,53.45,53.45,2025-01-01,completed,,North,53.45,2025-01-01,Fashion Item 04,Fashion,28.42,53.45,True
48,34,36,1,53.45,53.45,2025-01-01,refunded,,South,53.45,2025-01-01,Fashion Item 04,Fashion,28.42,53.45,False
49,35,13,1,34.71,34.71,2025-01-01,completed,,South,34.71,2025-01-01,Home Item 05,Home,15.9,34.71,True
50,36,32,1,12.22,12.22,2025-01-01,cancelled,,North,332.92,2025-01-01,Sports Item 08,Sports,7.11,12.22,False
51,36,10,1,163.05,163.05,2025-01-01,cancelled,,North,332.92,2025-01-01,Home Item 02,Home,76.01,163.05,False
52,36,35,1,157.65,157.65,2025-01-01,cancelled,,North,332.92,2025-01-01,Fashion Item 03,Fashion,77.82,157.65,False
53,37,23,1,83.16,83.16,2025-01-01,completed,,Central,83.16,2025-01-01,Beauty Item 07,Beauty,39.32,83.16,True
54,38,44,1,69.13,69.13,2025-01-01,completed,,Central,69.13,2025-01-01,Grocery Item 04,Grocery,46.32,69.13,True
55,39,8,1,20.47,20.47,2025-01-01,completed,,South,20.47,2025-01-01,Electronics Item 08,Electronics,12.26,20.47,True
56,40,32,1,12.22,12.22,2025-01-01,completed,,South,186.12,2025-01-01,Sports Item 08,Sports,7.11,12.22,True
57,40,15,1,173.9,173.9,2025-01-01,completed,,South,186.12,2025-01-01,Home Item 07,Home,83.24,173.9,True
58,41,11,3,115.23,345.69,2025-01-01,completed,,South,345.69,2025-01-01,Home Item 03,Home,73.04,115.23,True
59,42,28,1,84.15,84.15,2025-01-01,completed,,East,84.15,2025-01-01,Sports Item 04,Sports,39.74,84.15,True
60,43,35,1,157.65,157.65,2025-01-01,completed,,Central,157.65,2025-01-01,Fashion Item 03,Fashion,77.82,157.65,True
61,44,35,2,157.65,315.3,2025-01-01,completed,,South,315.3,2025-01-01,Fashion Item 03,Fashion,77.82,157.65,True
62,45,43,2,24.61,49.22,2025-01-01,completed,,South,49.22,2025-01-01,Grocery Item 03,Grocery,11.56,24.61,True
63,46,9,1,59.69,59.69,2025-01-01,completed,,East,103.41999999999999,2025-01-01,Home Item 01,Home,38.0,59.69,True
64,46,25,1,43.73,43.73,2025-01-01,completed,,East,103.41999999999999,2025-01-01,Sports Item 01,Sports,20.88,43.73,True
65,47,21,1,78.32,78.32,2025-01-01,completed,,Central,78.32,2025-01-01,Beauty Item 05,Beauty,34.88,78.32,True
66,48,14,1,61.39,61.39,2025-01-01,completed,,Central,114.84,2025-01-01,Home Item 06,Home,36.75,61.39,True
67,48,36,1,53.45,53.45,2025-01-01,completed,,Central,114.84,2025-01-01,Fashion Item 04,Fashion,28.42,53.45,True
68,49,26,1,124.26,124.26,2025-01-01,completed,,North,124.26,2025-01-01,Sports Item 02,Sports,72.7,124.26,True
69,50,25,3,43.73,131.19,2025-01-02,completed,,Central,131.19,2025-01-02,Sports Item 01,Sports,20.88,43.73,True
70,51,12,1,117.99,117.99,2025-01-02,completed,,North,117.99,2025-01-02,Home Item 04,Home,58.96,117.99,True
71,52,14,1,61.39,61.39,2025-01-02,completed,,North,61.39,2025-01-02,Home Item 06,Home,36.75,61.39,True
72,53,36,1,53.45,53.45,2025-01-02,completed,,North,53.45,2025-01-02,Fashion Item 04,Fashion,28.42,53.45,True
73,54,19,2,152.53,305.06,2025-01-02,refunded,,South,325.53,2025-01-02,Beauty Item 03,Beauty,83.95,152.53,False
74,54,8,1,20.47,20.47,2025-01-02,refunded,,South,325.53,2025-01-02,Electronics Item 08,Electronics,12.26,20.47,False
75,55,29,1,9.2,9.2,2025-01-02,completed,,Central,133.46,2025-01-02,Sports Item 05,Sports,4.26,9.2,True
76,55,26,1,124.26,124.26,2025-01-02,completed,,Central,133.46,2025-01-02,Sports Item 02,Sports,72.7,124.26,True
77,56,12,1,117.99,117.99,2025-01-02,completed,,East,161.72,2025-01-02,Home Item 04,Home,58.96,117.99,True
78,56,25,1,43.73,43.73,2025-01-02,completed,,East,161.72,2025-01-02,Sports Item 01,Sports,20.88,43.73,True
79,57,20,1,42.3,42.3,2025-01-02,completed,,Central,42.3,2025-01-02,Beauty Item 04,Beauty,18.73,42.3,True
80,58,19,1,152.53,152.53,2025-01-02,completed,,Central,152.53,2025-01-02,Beauty Item 03,Beauty,83.95,152.53,True
81,59,40,3,202.48,607.44,2025-01-02,completed,,South,607.44,2025-01-02,Fashion Item 08,Fashion,92.66,202.48,True
82,60,28,1,84.15,84.15,2025-01-02,completed,,South,84.15,2025-01-02,Sports Item 04,Sports,39.74,84.15,True
83,61,25,2,43.73,87.46,2025-01-02,refunded,,East,87.46,2025-01-02,Sports Item 01,Sports,20.88,43.73,False
84,62,27,1,24.68,24.68,2025-01-02,completed,,East,24.68,2025-01-02,Sports Item 03,Sports,10.9,24.68,True
85,63,5,2,61.15,122.3,2025-01-02,completed,,South,175.75,2025-01-02,Electronics Item 05,Electronics,33.0,61.15,True
86,63,36,1,53.45,53.45,2025-01-02,completed,,South,175.75,2025-01-02,Fashion Item 04,Fashion,28.42,53.45,True
87,64,25,1,43.73,43.73,2025-01-02,completed,,North,63.44,2025-01-02,Sports Item 01,Sports,20.88,43.73,True
88,64,31,1,19.71,19.71,2025-01-02,completed,,North,63.44,2025-01-02,Sports Item 07,Sports,11.9,19.71,True
89,65,35,1,157.65,157.65,2025-01-02,completed,,North,157.65,2025-01-02,Fashion Item 03,Fashion,77.82,157.65,True
90,66,22,1,75.66,75.66,2025-01-02,completed,,North,75.66,2025-01-02,Beauty Item 06,Beauty,36.14,75.66,True
91,67,47,1,21.34,21.34,2025-01-02,completed,,East,369.14,2025-01-02,Grocery Item 07,Grocery,13.74,21.34,True
92,67,15,2,173.9,347.8,2025-01-02,completed,,East,369.14,2025-01-02,Home Item 07,Home,83.24,173.9,True
93,68,13,2,34.71,69.42,2025-01-02,completed,,South,267.81,2025-01-02,Home Item 05,Home,15.9,34.71,True
94,68,11,1,115.23,115.23,2025-01-02,completed,,South,267.81,2025-01-02,Home Item 03,Home,73.04,115.23,True
95,68,23,1,83.16,83.16,2025-01-02,completed,,South,267.81,2025-01-02,Beauty Item 07,Beauty,39.32,83.16,True
96,69,22,1,75.66,75.66,2025-01-02,completed,,South,75.66,2025-01-02,Beauty Item 06,Beauty,36.14,75.66,True
97,70,20,1,42.3,42.3,2025-01-02,completed,,East,42.3,2025-01-02,Beauty Item 04,Beauty,18.73,42.3,True
98,71,34,1,43.74,43.74,2025-01-02,completed,,Central,43.74,2025-01-02,Fashion Item 02,Fashion,22.77,43.74,True
99,72,3,1,57.71,57.71,2025-01-02,completed,,East,57.71,2025-01-02,Electronics Item 03,Electronics,26.19,57.71,True
100,73,22,1,75.66,75.66,2025-01-02,completed,,South,153.98,2025-01-02,Beauty Item 06,Beauty,36.14,75.66,True
101,73,21,1,78.32,78.32,2025-01-02,completed,,South,153.98,2025-01-02,Beauty Item 05,Beauty,34.88,78.32,True
102,74,43,1,24.61,24.61,2025-01-02,completed,,South,24.61,2025-01-02,Grocery Item 03,Grocery,11.56,24.61,True
103,75,20,1,42.3,42.3,2025-01-02,processing,,Central,213.57999999999998,2025-01-02,Beauty Item 04,Beauty,18.73,42.3,True
104,75,33,1,171.28,171.28,2025-01-02,processing,,Central,213.57999999999998,2025-01-02,Fashion Item 01,Fashion,77.9,171.28,True
105,76,42,2,138.05,276.1,2025-01-02,completed,,Central,296.57000000000005,2025-01-02,Grocery Item 02,Grocery,61.43,138.05,True
106,76,8,1,20.47,20.47,2025-01-02,completed,,Central,296.57000000000005,2025-01-02,Electronics Item 08,Electronics,12.26,20.47,True
107,77,3,1,57.71,57.71,2025-01-02,processing,,East,57.71,2025-01-02,Electronics Item 03,Electronics,26.19,57.71,True
108,78,43,1,24.61,24.61,2025-01-02,completed,,South,66.91,2025-01-02,Grocery Item 03,Grocery,11.56,24.61,True
109,78,20,1,42.3,42.3,2025-01-02,completed,,South,66.91,2025-01-02,Beauty Item 04,Beauty,18.73,42.3,True
110,79,12,2,117.99,235.98,2025-01-02,completed,,South,342.88,2025-01-02,Home Item 04,Home,58.96,117.99,True
111,79,36,2,53.45,106.9,2025-01-02,completed,,South,342.88,2025-01-02,Fashion Item 04,Fashion,28.42,53.45,True
112,80,14,3,61.39,184.17,2025-01-02,completed,,East,184.17,2025-01-02,Home Item 06,Home,36.75,61.39,True
113,81,45,1,31.58,31.58,2025-01-02,cancelled,,Central,31.58,2025-01-02,Grocery Item 05,Grocery,18.68,31.58,False
114,82,47,1,21.34,21.34,2025-01-03,completed,,Central,21.34,2025-01-03,Grocery Item 07,Grocery,13.74,21.34,True
115,83,43,2,24.61,49.22,2025-01-03,completed,,North,83.93,2025-01-03,Grocery Item 03,Grocery,11.56,24.61,True
116,83,13,1,34.71,34.71,2025-01-03,completed,,North,83.93,2025-01-03,Home Item 05,Home,15.9,34.71,True
117,84,13,1,34.71,34.71,2025-01-03,completed,,East,34.71,2025-01-03,Home Item 05,Home,15.9,34.71,True
118,85,15,2,173.9,347.8,2025-01-03,completed,,East,347.8,2025-01-03,Home Item 07,Home,83.24,173.9,True
119,86,13,2,34.71,69.42,2025-01-03,completed,,Central,69.42,2025-01-03,Home Item 05,Home,15.9,34.71,True
120,87,31,1,19.71,19.71,2025-01-03,completed,,Central,19.71,2025-01-03,Sports Item 07,Sports,11.9,19.71,True
121,88,8,1,20.47,20.47,2025-01-03,completed,,East,20.47,2025-01-03,Electronics Item 08,Electronics,12.26,20.47,True
122,89,46,2,125.88,251.76,2025-01-03,completed,,North,251.76,2025-01-03,Grocery Item 06,Grocery,73.75,125.88,True
123,90,23,1,83.16,83.16,2025-01-03,completed,,East,184.19,2025-01-03,Beauty Item 07,Beauty,39.32,83.16,True
124,90,48,1,101.03,101.03,2025-01-03,completed,,East,184.19,2025-01-03,,Grocery,44.45,101.03,True
125,91,23,1,83.16,83.16,2025-01-03,completed,,South,83.16,2025-01-03,Beauty Item 07,Beauty,39.32,83.16,True
126,92,8,1,20.47,20.47,2025-01-03,completed,,South,20.47,2025-01-03,Electronics Item 08,Electronics,12.26,20.47,True
127,93,9,1,59.69,59.69,2025-01-03,completed,,Central,59.69,2025-01-03,Home Item 01,Home,38.0,59.69,True
128,94,35,1,157.65,157.65,2025-01-03,completed,,South,157.65,2025-01-03,Fashion Item 03,Fashion,77.82,157.65,True
129,95,12,1,117.99,117.99,2025-01-03,completed,,Central,117.99,2025-01-03,Home Item 04,Home,58.96,117.99,True
130,96,46,2,125.88,251.76,2025-01-03,completed,,Central,251.76,2025-01-03,Grocery Item 06,Grocery,73.75,125.88,True
131,97,8,3,20.47,61.41,2025-01-03,completed,,South,144.57,2025-01-03,Electronics Item 08,Electronics,12.26,20.47,True
132,97,23,1,83.16,83.16,2025-01-03,completed,,South,144.57,2025-01-03,Beauty Item 07,Beauty,39.32,83.16,True
133,98,41,1,49.55,49.55,2025-01-03,completed,,East,49.55,2025-01-03,Grocery Item 01,Grocery,22.88,49.55,True
134,99,37,1,141.93,141.93,2025-01-03,completed,,Central,141.93,2025-01-03,Fashion Item 05,Fashion,76.85,141.93,True
135,100,36,1,53.45,53.45,2025-01-03,completed,,Central,114.84,2025-01-03,Fashion Item 04,Fashion,28.42,53.45,True
136,100,14,1,61.39,61.39,2025-01-03,completed,,Central,114.84,2025-01-03,Home Item 06,Home,36.75,61.39,True
137,101,32,1,12.22,12.22,2025-01-03,completed,,Central,12.22,2025-01-03,Sports Item 08,Sports,7.11,12.22,True
138,102,12,2,117.99,235.98,2025-01-03,completed,,Central,467.75,2025-01-03,Home Item 04,Home,58.96,117.99,True
139,102,6,1,88.2,88.2,2025-01-03,completed,,Central,467.75,2025-01-03,Electronics Item 06,Electronics,39.5,88.2,True
140,102,7,1,143.57,143.57,2025-01-03,completed,,Central,467.75,2025-01-03,Electronics Item 07,Electronics,76.92,143.57,True
141,103,28,1,84.15,84.15,2025-01-03,completed,,Central,84.15,2025-01-03,Sports Item 04,Sports,39.74,84.15,True
142,104,18,1,37.74,37.74,2025-01-03,processing,,East,37.74,2025-01-03,Beauty Item 02,Beauty,18.64,37.74,True
143,105,21,1,78.32,78.32,2025-01-03,completed,,North,78.32,2025-01-03,Beauty Item 05,Beauty,34.88,78.32,True
144,106,10,1,163.05,163.05,2025-01-03,completed,,Central,163.05,2025-01-03,Home Item 02,Home,76.01,163.05,True
145,107,26,2,124.26,248.52,2025-01-03,completed,,South,248.52,2025-01-03,Sports Item 02,Sports,72.7,124.26,True
146,108,37,1,141.93,141.93,2025-01-03,completed,,East,299.58000000000004,2025-01-03,Fashion Item 05,Fashion,76.85,141.93,True
147,108,35,1,157.65,157.65,2025-01-03,completed,,East,299.58000000000004,2025-01-03,Fashion Item 03,Fashion,77.82,157.65,True
148,109,14,1,61.39,61.39,2025-01-03,completed,,South,61.39,2025-01-03,Home Item 06,Home,36.75,61.39,True
149,110,36,1,53.45,53.45,2025-01-03,completed,,North,53.45,2025-01-03,Fashion Item 04,Fashion,28.42,53.45,True
150,111,42,1,138.05,138.05,2025-01-03,completed,,South,138.05,2025-01-03,Grocery Item 02,Grocery,61.43,138.05,True
151,112,31,1,19.71,19.71,2025-01-03,completed,,South,19.71,2025-01-03,Sports Item 07,Sports,11.9,19.71,True
152,113,15,1,173.9,173.9,2025-01-03,completed,,East,243.03,2025-01-03,Home Item 07,Home,83.24,173.9,True
153,113,44,1,69.13,69.13,2025-01-03,completed,,East,243.03,2025-01-03,Grocery Item 04,Grocery,46.32,69.13,True
154,114,3,1,57.71,57.71,2025-01-03,completed,,North,107.25999999999999,2025-01-03,Electronics Item 03,Electronics,26.19,57.71,True
155,114,41,1,49.55,49.55,2025-01-03,completed,,North,107.25999999999999,2025-01-03,Grocery Item 01,Grocery,22.88,49.55,True
156,115,8,3,20.47,61.41,2025-01-03,completed,,South,61.41,2025-01-03,Electronics Item 08,Electronics,12.26,20.47,True
157,116,47,1,21.34,21.34,2025-01-03,completed,,North,21.34,2025-01-03,Grocery Item 07,Grocery,13.74,21.34,True
158,117,35,1,157.65,157.65,2025-01-03,refunded,,South,157.65,2025-01-03,Fashion Item 03,Fashion,77.82,157.65,False
159,118,21,1,78.32,78.32,2025-01-03,completed,,South,237.92,2025-01-03,Beauty Item 05,Beauty,34.88,78.32,True
160,118,47,1,21.34,21.34,2025-01-03,completed,,South,237.92,2025-01-03,Grocery Item 07,Grocery,13.74,21.34,True
161,118,44,2,69.13,138.26,2025-01-03,completed,,South,237.92,2025-01-03,Grocery Item 04,Grocery,46.32,69.13,True
162,119,31,1,19.71,19.71,2025-01-03,processing,,South,161.64000000000001,2025-01-03,Sports Item 07,Sports,11.9,19.71,True
163,119,37,1,141.93,141.93,2025-01-03,processing,,South,161.64000000000001,2025-01-03,Fashion Item 05,Fashion,76.85,141.93,True
164,120,6,1,88.2,88.2,2025-01-03,completed,,Central,290.7,2025-01-03,Electronics Item 06,Electronics,39.5,88.2,True
165,120,17,2,101.25,202.5,2025-01-03,completed,,Central,290.7,2025-01-03,Beauty Item 01,Beauty,68.35,101.25,True
166,121,35,1,157.65,157.65,2025-01-04,completed,,East,157.65,2025-01-04,Fashion Item 03,Fashion,77.82,157.65,True
167,122,43,1,24.61,24.61,2025-01-04,completed,,South,24.61,2025-01-04,Grocery Item 03,Grocery,11.56,24.61,True
168,123,36,1,53.45,53.45,2025-01-04,completed,,South,53.45,2025-01-04,Fashion Item 04,Fashion,28.42,53.45,True
169,124,36,1,53.45,53.45,2025-01-04,completed,,North,127.44,2025-01-04,Fashion Item 04,Fashion,28.42,53.45,True
170,124,32,2,12.22,24.44,2025-01-04,completed,,North,127.44,2025-01-04,Sports Item 08,Sports,7.11,12.22,True
171,124,41,1,49.55,49.55,2025-01-04,completed,,North,127.44,2025-01-04,Grocery Item 01,Grocery,22.88,49.55,True
172,125,8,1,20.47,20.47,2025-01-04,completed,,East,20.47,2025-01-04,Electronics Item 08,Electronics,12.26,20.47,True
173,126,8,1,20.47,20.47,2025-01-04,completed,,Central,272.23,2025-01-04,Electronics Item 08,Electronics,12.26,20.47,True
174,126,46,2,125.88,251.76,2025-01-04,completed,,Central,272.23,2025-01-04,Grocery Item 06,Grocery,73.75,125.88,True
175,127,10,2,163.05,326.1,2025-01-04,completed,,East,326.1,2025-01-04,Home Item 02,Home,76.01,163.05,True
176,128,36,1,53.45,53.45,2025-01-04,completed,,South,191.5,2025-01-04,Fashion Item 04,Fashion,28.42,53.45,True
177,128,42,1,138.05,138.05,2025-01-04,completed,,South,191.5,2025-01-04,Grocery Item 02,Grocery,61.43,138.05,True
178,129,19,1,152.53,152.53,2025-01-04,completed,,North,194.82999999999998,2025-01-04,Beauty Item 03,Beauty,83.95,152.53,True
179,129,20,1,42.3,42.3,2025-01-04,completed,,North,194.82999999999998,2025-01-04,Beauty Item 04,Beauty,18.73,42.3,True
180,130,10,2,163.05,326.1,2025-01-04,completed,,Central,326.1,2025-01-04,Home Item 02,Home,76.01,163.05,True
181,131,14,1,61.39,61.39,2025-01-04,completed,,Central,61.39,2025-01-04,Home Item 06,Home,36.75,61.39,True
182,132,36,1,53.45,53.45,2025-01-04,completed,,Central,53.45,2025-01-04,Fashion Item 04,Fashion,28.42,53.45,True
183,133,37,1,141.93,141.93,2025-01-04,processing,,South,166.61,2025-01-04,Fashion Item 05,Fashion,76.85,141.93,True
184,133,27,1,24.68,24.68,2025-01-04,processing,,South,166.61,2025-01-04,Sports Item 03,Sports,10.9,24.68,True
185,134,21,1,78.32,78.32,2025-01-04,completed,,South,78.32,2025-01-04,Beauty Item 05,Beauty,34.88,78.32,True
186,135,12,1,117.99,117.99,2025-01-04,completed,,East,117.99,2025-01-04,Home Item 04,Home,58.96,117.99,True
187,136,43,1,24.61,24.61,2025-01-04,completed,,South,24.61,2025-01-04,Grocery Item 03,Grocery,11.56,24.61,True
188,137,21,1,78.32,78.32,2025-01-04,processing,,South,78.32,2025-01-04,Beauty Item 05,Beauty,34.88,78.32,True
189,138,44,1,69.13,69.13,2025-01-04,completed,,Central,69.13,2025-01-04,Grocery Item 04,Grocery,46.32,69.13,True
190,139,21,2,78.32,156.64,2025-01-04,completed,,Central,156.64,2025-01-04,Beauty Item 05,Beauty,34.88,78.32,True
191,140,22,1,75.66,75.66,2025-01-04,completed,,Central,75.66,2025-01-04,Beauty Item 06,Beauty,36.14,75.66,True
192,141,22,1,75.66,75.66,2025-01-04,completed,,East,113.4,2025-01-04,Beauty Item 06,Beauty,36.14,75.66,True
193,141,18,1,37.74,37.74,2025-01-04,completed,,East,113.4,2025-01-04,Beauty Item 02,Beauty,18.64,37.74,True
194,142,40,3,202.48,607.44,2025-01-04,completed,,North,607.44,2025-01-04,Fashion Item 08,Fashion,92.66,202.48,True
195,143,36,1,53.45,53.45,2025-01-04,completed,,South,497.03999999999996,2025-01-04,Fashion Item 04,Fashion,28.42,53.45,True
196,143,33,2,171.28,342.56,2025-01-04,completed,,South,497.03999999999996,2025-01-04,Fashion Item 01,Fashion,77.9,171.28,True
197,143,48,1,101.03,101.03,2025-01-04,completed,,South,497.03999999999996,2025-01-04,,Grocery,44.45,101.03,True
198,144,47,1,21.34,21.34,2025-01-04,completed,,East,74.79,2025-01-04,Grocery Item 07,Grocery,13.74,21.34,True
199,144,36,1,53.45,53.45,2025-01-04,completed,,East,74.79,2025-01-04,Fashion Item 04,Fashion,28.42,53.45,True
200,145,22,1,75.66,75.66,2025-01-04,completed,,North,75.66,2025-01-04,Beauty Item 06,Beauty,36.14,75.66,True
201,146,21,1,78.32,78.32,2025-01-04,completed,,East,78.32,2025-01-04,Beauty Item 05,Beauty,34.88,78.32,True
202,147,45,1,31.58,31.58,2025-01-04,completed,,South,31.58,2025-01-04,Grocery Item 05,Grocery,18.68,31.58,True
203,148,14,1,61.39,61.39,2025-01-04,completed,,South,99.13,2025-01-04,Home Item 06,Home,36.75,61.39,True
204,148,18,1,37.74,37.74,2025-01-04,completed,,South,99.13,2025-01-04,Beauty Item 02,Beauty,18.64,37.74,True
205,149,21,1,78.32,78.32,2025-01-04,completed,,East,78.32,2025-01-04,Beauty Item 05,Beauty,34.88,78.32,True
206,150,44,1,69.13,69.13,2025-01-04,completed,,Central,69.13,2025-01-04,Grocery Item 04,Grocery,46.32,69.13,True
207,151,3,2,57.71,115.42,2025-01-04,completed,,Central,441.52000000000004,2025-01-04,Electronics Item 03,Electronics,26.19,57.71,True
208,151,10,2,163.05,326.1,2025-01-04,completed,,Central,441.52000000000004,2025-01-04,Home Item 02,Home,76.01,163.05,True
209,152,8,1,20.47,20.47,2025-01-04,processing,,South,103.63,2025-01-04,Electronics Item 08,Electronics,12.26,20.47,True
210,152,23,1,83.16,83.16,2025-01-04,processing,,South,103.63,2025-01-04,Beauty Item 07,Beauty,39.32,83.16,True
211,153,12,1,117.99,117.99,2025-01-04,completed,,South,117.99,2025-01-04,Home Item 04,Home,58.96,117.99,True
212,154,21,1,78.32,78.32,2025-01-04,completed,,North,78.32,2025-01-04,Beauty Item 05,Beauty,34.88,78.32,True
213,155,20,1,42.3,42.3,2025-01-04,completed,,South,120.61999999999999,2025-01-04,Beauty Item 04,Beauty,18.73,42.3,True
214,155,21,1,78.32,78.32,2025-01-04,completed,,South,120.61999999999999,2025-01-04,Beauty Item 05,Beauty,34.88,78.32,True
215,156,3,1,57.71,57.71,2025-01-04,completed,,Central,57.71,2025-01-04,Electronics Item 03,Electronics,26.19,57.71,True
216,157,36,1,53.45,53.45,2025-01-04,completed,,South,382.38,2025-01-04,Fashion Item 04,Fashion,28.42,53.45,True
217,157,19,1,152.53,152.53,2025-01-04,completed,,South,382.38,2025-01-04,Beauty Item 03,Beauty,83.95,152.53,True
