order_id,order_created_at,order_status,campaign_id,region,order_gmv,order_date,shipment_id,promised_ship_date,shipped_date,delivered_date,is_fulfilled,is_delayed
67,2025-01-02,completed,,East,369.14,2025-01-02,63.0,2025-01-05,2025-01-05,2025-01-09,1,0
68,2025-01-02,completed,,South,267.81,2025-01-02,64.0,2025-01-05,2025-01-04,2025-01-08,1,0
69,2025-01-02,completed,,South,75.66,2025-01-02,65.0,2025-01-06,2025-01-07,2025-01-09,1,1
70,2025-01-02,completed,,East,42.3,2025-01-02,66.0,2025-01-06,2025-01-05,2025-01-08,1,0
71,2025-01-02,completed,,Central,43.74,2025-01-02,67.0,2025-01-05,2025-01-04,2025-01-07,1,0
72,2025-01-02,completed,,East,57.71,2025-01-02,68.0,2025-01-04,2025-01-05,2025-01-09,1,1
73,2025-01-02,completed,,South,153.98,2025-01-02,69.0,2025-01-05,2025-01-04,2025-01-06,1,0
74,2025-01-02,completed,,South,24.61,2025-01-02,70.0,2025-01-05,2025-01-04,2025-01-08,1,0
75,2025-01-02,processing,,Central,213.57999999999998,2025-01-02,71.0,2025-01-05,2025-01-05,2025-01-07,1,0
76,2025-01-02,completed,,Central,296.57000000000005,2025-01-02,72.0,2025-01-05,2025-01-03,2025-01-04,1,0
77,2025-01-02,processing,,East,57.71,2025-01-02,73.0,2025-01-04,2025-01-04,2025-01-05,1,0
78,2025-01-02,completed,,South,66.91,2025-01-02,74.0,2025-01-05,2025-01-07,2025-01-10,1,1
79,2025-01-02,completed,,South,342.88,2025-01-02,75.0,2025-01-05,2025-01-04,2025-01-05,1,0
80,2025-01-02,completed,,East,184.17,2025-01-02,76.0,2025-01-04,2025-01-04,2025-01-06,1,0
81,2025-01-02,cancelled,,Central,31.58,2025-01-02,,,,,0,1
82,2025-01-03,completed,,Central,21.34,2025-01-03,77.0,2025-01-05,2025-01-04,2025-01-06,1,0
83,2025-01-03,completed,,North,83.93,2025-01-03,78.0,2025-01-06,2025-01-05,2025-01-08,1,0
84,2025-01-03,completed,,East,34.71,2025-01-03,79.0,2025-01-07,2025-01-08,2025-01-09,1,1
85,2025-01-03,completed,,East,347.8,2025-01-03,80.0,2025-01-06,2025-01-04,2025-01-06,1,0
86,2025-01-03,completed,,Central,69.42,2025-01-03,81.0,2025-01-07,2025-01-04,2025-01-05,1,0
87,2025-01-03,completed,,Central,19.71,2025-01-03,82.0,2025-01-07,2025-01-06,2025-01-10,1,0
88,2025-01-03,completed,,East,20.47,2025-01-03,83.0,2025-01-06,2025-01-05,2025-01-08,1,0
89,2025-01-03,completed,,North,251.76,2025-01-03,84.0,2025-01-06,2025-01-05,2025-01-08,1,0
90,2025-01-03,completed,,East,184.19,2025-01-03,85.0,2025-01-07,2025-01-06,2025-01-09,1,0
91,2025-01-03,completed,,South,83.16,2025-01-03,86.0,2025-01-07,2025-01-05,2025-01-07,1,0
92,2025-01-03,completed,,South,20.47,2025-01-03,87.0,2025-01-07,2025-01-10,2025-01-13,1,1
93,2025-01-03,completed,,Central,59.69,2025-01-03,88.0,2025-01-05,2025-01-05,2025-01-08,1,0
94,2025-01-03,completed,,South,157.65,2025-01-03,89.0,2025-01-06,2025-01-05,2025-01-06,1,0
95,2025-01-03,completed,,Central,117.99,2025-01-03,90.0,2025-01-06,2025-01-05,2025-01-08,1,0
96,2025-01-03,completed,,Central,251.76,2025-01-03,91.0,2025-01-05,2025-01-10,2025-01-14,1,1
97,2025-01-03,completed,,South,144.57,2025-01-03,92.0,2025-01-06,2025-01-08,2025-01-12,1,1
98,2025-01-03,completed,,East,49.55,2025-01-03,93.0,2025-01-06,2025-01-06,2025-01-09,1,0
99,2025-01-03,completed,,Central,141.93,2025-01-03,94.0,2025-01-05,2025-01-04,2025-01-07,1,0
100,2025-01-03,completed,,Central,114.84,2025-01-03,95.0,2025-01-06,2025-01-06,2025-01-10,1,0
101,2025-01-03,completed,,Central,12.22,2025-01-03,96.0,2025-01-06,2025-01-05,2025-01-09,1,0
102,2025-01-03,completed,,Central,467.75,2025-01-03,97.0,2025-01-05,2025-01-06,2025-01-07,1,1
103,2025-01-03,completed,,Central,84.15,2025-01-03,98.0,2025-01-06,2025-01-05,2025-01-06,1,0
104,2025-01-03,processing,,East,37.74,2025-01-03,99.0,2025-01-06,2025-01-05,2025-01-06,1,0
105,2025-01-03,completed,,North,78.32,2025-01-03,100.0,2025-01-05,2025-01-05,2025-01-07,1,0
106,2025-01-03,completed,,Central,163.05,2025-01-03,101.0,2025-01-06,2025-01-06,2025-01-09,1,0
107,2025-01-03,completed,,South,248.52,2025-01-03,102.0,2025-01-06,,,0,1
108,2025-01-03,completed,,East,299.58000000000004,2025-01-03,103.0,2025-01-06,2025-01-06,2025-01-10,1,0
109,2025-01-03,completed,,South,61.39,2025-01-03,104.0,2025-01-06,2025-01-06,2025-01-10,1,0
110,2025-01-03,completed,,North,53.45,2025-01-03,105.0,2025-01-05,2025-01-05,2025-01-09,1,0
111,2025-01-03,completed,,South,138.05,2025-01-03,106.0,2025-01-06,2025-01-05,2025-01-08,1,0
112,2025-01-03,completed,,South,19.71,2025-01-03,107.0,2025-01-06,2025-01-04,2025-01-08,1,0
113,2025-01-03,completed,,East,243.03,2025-01-03,108.0,2025-01-05,2025-01-04,2025-01-08,1,0
114,2025-01-03,completed,,North,107.25999999999999,2025-01-03,109.0,2025-01-06,2025-01-05,2025-01-06,1,0
115,2025-01-03,completed,,South,61.41,2025-01-03,110.0,2025-01-05,,,0,1
116,2025-01-03,completed,,North,21.34,2025-01-03,111.0,2025-01-06,2025-01-05,2025-01-07,1,0
117,2025-01-03,refunded,,South,157.65,2025-01-03,,,,,0,1
118,2025-01-03,completed,,South,237.92,2025-01-03,112.0,2025-01-05,2025-01-08,2025-01-12,1,1
119,2025-01-03,processing,,South,161.64000000000001,2025-01-03,113.0,2025-01-05,2025-01-10,2025-01-13,1,1
120,2025-01-03,completed,,Central,290.7,2025-01-03,114.0,2025-01-07,2025-01-08,2025-01-11,1,1
121,2025-01-04,completed,,East,157.65,2025-01-04,115.0,2025-01-06,2025-01-09,2025-01-12,1,1
122,2025-01-04,completed,,South,24.61,2025-01-04,116.0,2025-01-08,2025-01-11,2025-01-13,1,1
123,2025-01-04,completed,,South,53.45,2025-01-04,117.0,2025-01-06,2025-01-06,2025-01-10,1,0
124,2025-01-04,completed,,North,127.44,2025-01-04,118.0,2025-01-07,2025-01-05,2025-01-08,1,0
125,2025-01-04,completed,,East,20.47,2025-01-04,119.0,2025-01-08,2025-01-07,2025-01-10,1,0
126,2025-01-04,completed,,Central,272.23,2025-01-04,120.0,2025-01-07,2025-01-11,2025-01-13,1,1
127,2025-01-04,completed,,East,326.1,2025-01-04,121.0,2025-01-07,2025-01-06,2025-01-09,1,0
128,2025-01-04,completed,,South,191.5,2025-01-04,122.0,2025-01-07,2025-01-09,2025-01-10,1,1
129,2025-01-04,completed,,North,194.82999999999998,2025-01-04,123.0,2025-01-07,2025-01-06,2025-01-08,1,0
130,2025-01-04,completed,,Central,326.1,2025-01-04,124.0,2025-01-06,2025-01-07,2025-01-11,1,1
131,2025-01-04,completed,,Central,61.39,2025-01-04,125.0,2025-01-07,2025-01-09,2025-01-10,1,1
132,2025-01-04,completed,,Central,53.45,2025-01-04,126.0,2025-01-07,2025-01-07,2025-01-08,1,0
133,2025-01-04,processing,,South,166.61,2025-01-04,127.0,2025-01-08,2025-01-05,2025-01-09,1,0
134,2025-01-04,completed,,South,78.32,2025-01-04,128.0,2025-01-07,2025-01-07,2025-01-09,1,0
135,2025-01-04,completed,,East,117.99,2025-01-04,129.0,2025-01-07,2025-01-07,2025-01-11,1,0
136,2025-01-04,completed,,South,24.61,2025-01-04,130.0,2025-01-06,2025-01-11,2025-01-12,1,1
137,2025-01-04,processing,,South,78.32,2025-01-04,131.0,2025-01-07,2025-01-06,2025-01-08,1,0
138,2025-01-04,completed,,Central,69.13,2025-01-04,132.0,2025-01-07,2025-01-06,2025-01-08,1,0
139,2025-01-04,completed,,Central,156.64,2025-01-04,133.0,2025-01-07,2025-01-05,2025-01-09,1,0
140,2025-01-04,completed,,Central,75.66,2025-01-04,134.0,2025-01-06,2025-01-07,2025-01-09,1,1
141,2025-01-04,completed,,East,113.4,2025-01-04,135.0,2025-01-06,2025-01-09,2025-01-12,1,1
142,2025-01-04,completed,,North,607.44,2025-01-04,136.0,2025-01-08,2025-01-07,2025-01-08,1,0
143,2025-01-04,completed,,South,497.03999999999996,2025-01-04,137.0,2025-01-08,2025-01-06,2025-01-10,1,0
144,2025-01-04,completed,,East,74.79,2025-01-04,138.0,2025-01-06,2025-01-05,2025-01-07,1,0
145,2025-01-04,completed,,North,75.66,2025-01-04,139.0,2025-01-07,2025-01-07,2025-01-10,1,0
146,2025-01-04,completed,,East,78.32,2025-01-04,140.0,2025-01-06,2025-01-06,2025-01-08,1,0
147,2025-01-04,completed,,South,31.58,2025-01-04,141.0,2025-01-07,,,0,1
148,2025-01-04,completed,,South,99.13,2025-01-04,142.0,2025-01-08,2025-01-06,2025-01-08,1,0
149,2025-01-04,completed,,East,78.32,2025-01-04,143.0,2025-01-07,2025-01-07,2025-01-11,1,0
150,2025-01-04,completed,,Central,69.13,2025-01-04,144.0,2025-01-07,2025-01-05,2025-01-06,1,0
151,2025-01-04,completed,,Central,441.52000000000004,2025-01-04,145.0,2025-01-06,2025-01-06,2025-01-07,1,0
152,2025-01-04,processing,,South,103.63,2025-01-04,146.0,2025-01-07,2025-01-05,2025-01-08,1,0
153,2025-01-04,completed,,South,117.99,2025-01-04,147.0,2025-01-08,2025-01-07,2025-01-10,1,0
154,2025-01-04,completed,,North,78.32,2025-01-04,148.0,2025-01-08,,,0,1
155,2025-01-04,completed,,South,120.61999999999999,2025-01-04,149.0,2025-01-07,2025-01-09,2025-01-10,1,1
156,2025-01-04,completed,,Central,57.71,2025-01-04,150.0,2025-01-06,2025-01-05,2025-01-06,1,0
157,2025-01-04,completed,,South,382.38,2025-01-04,151.0,2025-01-08,2025-01-05,2025-01-06,1,0
158,2025-01-04,completed,,Central,83.16,2025-01-04,152.0,2025-01-07,2025-01-07,2025-01-09,1,0
159,2025-01-04,processing,,Central,107.95,2025-01-04,153.0,2025-01-08,2025-01-06,2025-01-09,1,0
160,2025-01-04,completed,,East,172.76000000000002,2025-01-04,154.0,2025-01-07,2025-01-11,2025-01-13,1,1
161,2025-01-04,completed,,North,61.39,2025-01-04,155.0,2025-01-07,2025-01-06,2025-01-10,1,0
162,2025-01-04,completed,,East,31.58,2025-01-04,156.0,2025-01-07,2025-01-05,2025-01-06,1,0
163,2025-01-04,completed,,North,101.25,2025-01-04,157.0,2025-01-06,2025-01-05,2025-01-08,1,0
164,2025-01-04,completed,,South,217.31,2025-01-04,158.0,2025-01-07,2025-01-07,2025-01-08,1,0
165,2025-01-05,cancelled,,East,217.34,2025-01-05,,,,,0,1
166,2025-01-05,completed,,Central,157.65,2025-01-05,159.0,2025-01-08,2025-01-07,2025-01-08,1,0
167,2025-01-05,completed,,Central,20.47,2025-01-05,160.0,2025-01-07,2025-01-12,2025-01-15,1,1
168,2025-01-05,completed,,East,177.71,2025-01-05,161.0,2025-01-07,2025-01-07,2025-01-11,1,0
169,2025-01-05,completed,,Central,181.96,2025-01-05,162.0,2025-01-08,2025-01-08,2025-01-09,1,0
170,2025-01-05,unknown_status,,East,88.2,2025-01-05,,,,,0,1
171,2025-01-05,completed,,South,152.53,2025-01-05,163.0,2025-01-08,2025-01-08,2025-01-11,1,0
172,2025-01-05,refunded,,Central,163.05,2025-01-05,,,,,0,1
173,2025-01-05,refunded,,Central,20.47,2025-01-05,,,,,0,1
174,2025-01-05,completed,,North,126.9,2025-01-05,164.0,2025-01-08,2025-01-07,2025-01-10,1,0
175,2025-01-05,completed,,North,19.71,2025-01-05,165.0,2025-01-08,2025-01-08,2025-01-12,1,0
176,2025-01-05,completed,,South,173.9,2025-01-05,166.0,2025-01-08,2025-01-08,2025-01-10,1,0
177,2025-01-05,completed,,Central,124.26,2025-01-05,167.0,2025-01-08,2025-01-07,2025-01-08,1,0
178,2025-01-05,processing,,North,173.9,2025-01-05,168.0,2025-01-09,2025-01-06,2025-01-07,1,0
179,2025-01-05,completed,,Central,152.53,2025-01-05,169.0,2025-01-07,2025-01-07,2025-01-09,1,0
180,2025-01-05,completed,,South,43.73,2025-01-05,170.0,2025-01-07,2025-01-10,2025-01-11,1,1
181,2025-01-05,completed,,South,122.3,2025-01-05,171.0,2025-01-08,2025-01-06,2025-01-07,1,0
182,2025-01-05,completed,,North,20.47,2025-01-05,172.0,2025-01-09,2025-01-10,2025-01-13,1,1
183,2025-01-05,completed,,South,20.47,2025-01-05,173.0,2025-01-09,2025-01-10,2025-01-13,1,1
184,2025-01-05,completed,,East,20.47,2025-01-05,174.0,2025-01-09,2025-01-10,2025-01-14,1,1
185,2025-01-05,completed,,East,69.13,2025-01-05,175.0,2025-01-08,2025-01-08,2025-01-09,1,0
186,2025-01-05,completed,,East,141.93,2025-01-05,176.0,2025-01-07,2025-01-08,2025-01-12,1,1
187,2025-01-05,completed,,South,323.97,2025-01-05,177.0,2025-01-07,2025-01-07,2025-01-08,1,0
188,2025-01-05,completed,,North,122.3,2025-01-05,178.0,2025-01-08,2025-01-08,2025-01-12,1,0
189,2025-01-05,completed,,North,163.05,2025-01-05,179.0,2025-01-09,2025-01-08,2025-01-12,1,0
190,2025-01-05,completed,,Central,163.05,2025-01-05,180.0,2025-01-07,2025-01-08,2025-01-10,1,1
191,2025-01-05,processing,,Central,100.81,2025-01-05,181.0,2025-01-08,2025-01-07,2025-01-08,1,0
192,2025-01-05,completed,,South,320.70000000000005,2025-01-05,182.0,2025-01-08,2025-01-07,2025-01-11,1,0
193,2025-01-05,refunded,,South,83.16,2025-01-05,,,,,0,1
194,2025-01-05,completed,,South,69.13,2025-01-05,183.0,2025-01-08,2025-01-07,2025-01-10,1,0
195,2025-01-05,completed,,North,116.06,2025-01-05,184.0,2025-01-08,2025-01-07,2025-01-08,1,0
196,2025-01-05,completed,,Central,42.3,2025-01-05,185.0,2025-01-09,2025-01-07,2025-01-11,1,0
197,2025-01-05,completed,,South,20.47,2025-01-05,186.0,2025-01-08,2025-01-08,2025-01-09,1,0
198,2025-01-05,completed,,North,72.47,2025-01-05,187.0,2025-01-09,2025-01-07,2025-01-10,1,0
199,2025-01-05,cancelled,,North,83.16,2025-01-05,,,,,0,1
200,2025-01-05,completed,,Central,276.1,2025-01-05,188.0,2025-01-08,2025-01-07,2025-01-11,1,0
201,2025-01-05,completed,,North,20.47,2025-01-05,189.0,2025-01-09,2025-01-08,2025-01-09,1,0
202,2025-01-05,completed,,North,12.22,2025-01-05,190.0,2025-01-09,2025-01-10,2025-01-12,1,1
203,2025-01-05,completed,,Central,253.32999999999998,2025-01-05,191.0,2025-01-09,2025-01-08,2025-01-09,1,0
204,2025-01-05,completed,,Central,157.65,2025-01-05,192.0,2025-01-08,2025-01-10,2025-01-11,1,1
205,2025-01-05,processing,,Central,43.74,2025-01-05,193.0,2025-01-08,2025-01-08,2025-01-10,1,0
206,2025-01-05,completed,,Central,53.45,2025-01-05,194.0,2025-01-07,2025-01-08,2025-01-12,1,1
207,2025-01-05,completed,,Central,90.47,2025-01-05,195.0,2025-01-09,,,0,1
208,2025-01-05,completed,,Central,20.47,2025-01-05,196.0,2025-01-08,2025-01-10,2025-01-12,1,1
209,2025-01-05,completed,,South,21.34,2025-01-05,197.0,2025-01-08,2025-01-07,2025-01-10,1,0
210,2025-01-05,completed,,East,24.61,2025-01-05,198.0,2025-01-08,2025-01-08,2025-01-11,1,0
211,2025-01-05,completed,,Central,75.66,2025-01-05,199.0,2025-01-08,2025-01-06,2025-01-09,1,0
212,2025-01-05,cancelled,,East,53.45,2025-01-05,,,,,0,1
213,2025-01-05,completed,,Central,31.58,2025-01-05,200.0,2025-01-07,2025-01-07,2025-01-10,1,0
214,2025-01-05,completed,,South,12.22,2025-01-05,201.0,2025-01-07,2025-01-10,2025-01-11,1,1
215,2025-01-06,completed,,Central,57.71,2025-01-06,202.0,2025-01-09,2025-01-08,2025-01-11,1,0
216,2025-01-06,completed,,Central,57.71,2025-01-06,203.0,2025-01-10,2025-01-08,2025-01-12,1,0
217,2025-01-06,processing,,East,24.44,2025-01-06,204.0,2025-01-08,2025-01-09,2025-01-12,1,1
218,2025-01-06,completed,,East,172.76000000000002,2025-01-06,205.0,2025-01-10,2025-01-08,2025-01-10,1,0
219,2025-01-06,completed,,South,159.6,2025-01-06,206.0,2025-01-08,2025-01-09,2025-01-12,1,1
220,2025-01-06,completed,,North,67.9,2025-01-06,207.0,2025-01-09,,,0,1
221,2025-01-06,completed,,Central,115.23,2025-01-06,208.0,2025-01-09,2025-01-09,2025-01-10,1,0
222,2025-01-06,completed,,North,363.9,2025-01-06,209.0,2025-01-09,2025-01-09,2025-01-11,1,0
223,2025-01-06,completed,,South,383.0,2025-01-06,210.0,2025-01-09,2025-01-09,2025-01-10,1,0
224,2025-01-06,completed,,South,66.91,2025-01-06,211.0,2025-01-09,2025-01-08,2025-01-10,1,0
225,2025-01-06,completed,,South,12.22,2025-01-06,212.0,2025-01-08,2025-01-08,2025-01-11,1,0
226,2025-01-06,completed,,Central,37.74,2025-01-06,213.0,2025-01-09,2025-01-09,2025-01-10,1,0
227,2025-01-06,completed,,South,52.05,2025-01-06,214.0,2025-01-09,2025-01-07,2025-01-11,1,0
228,2025-01-06,completed,,Central,69.13,2025-01-06,215.0,2025-01-08,2025-01-11,2025-01-13,1,1
229,2025-01-06,completed,,North,171.28,2025-01-06,216.0,2025-01-08,2025-01-08,2025-01-10,1,0
230,2025-01-06,completed,,North,314.88,2025-01-06,217.0,2025-01-09,2025-01-09,2025-01-13,1,0
231,2025-01-06,completed,,South,151.32,2025-01-06,218.0,2025-01-08,2025-01-09,2025-01-11,1,1
232,2025-01-06,completed,,South,20.47,2025-01-06,219.0,2025-01-09,2025-01-08,2025-01-12,1,0
233,2025-01-06,cancelled,,South,212.70999999999998,2025-01-06,,,,,0,1
234,2025-01-06,completed,,South,161.95,2025-01-06,220.0,2025-01-08,2025-01-08,2025-01-09,1,0
235,2025-01-06,completed,,East,115.23,2025-01-06,221.0,2025-01-10,2025-01-11,2025-01-12,1,1
236,2025-01-06,completed,,North,342.56,2025-01-06,222.0,2025-01-08,2025-01-09,2025-01-13,1,1
237,2025-01-06,completed,,Central,42.68,2025-01-06,223.0,2025-01-09,2025-01-09,2025-01-11,1,0
238,2025-01-06,completed,,North,90.53999999999999,2025-01-06,224.0,2025-01-09,2025-01-08,2025-01-11,1,0
239,2025-01-06,cancelled,,South,222.19,2025-01-06,,,,,0,1
240,2025-01-06,completed,,South,20.47,2025-01-06,225.0,2025-01-09,2025-01-11,2025-01-14,1,1
241,2025-01-06,completed,,South,283.86,2025-01-06,226.0,2025-01-10,2025-01-09,2025-01-10,1,0
242,2025-01-06,completed,,Central,61.39,2025-01-06,227.0,2025-01-08,2025-01-08,2025-01-11,1,0
243,2025-01-06,completed,,East,12.22,2025-01-06,228.0,2025-01-08,2025-01-11,2025-01-14,1,1
244,2025-01-06,completed,,North,171.28,2025-01-06,229.0,2025-01-09,2025-01-08,2025-01-10,1,0
245,2025-01-06,completed,,Central,43.74,2025-01-06,230.0,2025-01-09,2025-01-07,2025-01-11,1,0
246,2025-01-06,completed,,South,238.73000000000002,2025-01-06,231.0,2025-01-08,2025-01-08,2025-01-11,1,0
247,2025-01-06,completed,,Central,248.52,2025-01-06,232.0,2025-01-09,2025-01-07,2025-01-11,1,0
248,2025-01-06,completed,,East,166.32,2025-01-06,233.0,2025-01-09,2025-01-08,2025-01-11,1,0
249,2025-01-06,completed,,North,138.05,2025-01-06,234.0,2025-01-08,2025-01-11,2025-01-12,1,1
250,2025-01-06,completed,,East,40.94,2025-01-06,235.0,2025-01-08,2025-01-08,2025-01-09,1,0
251,2025-01-06,completed,,North,271.4,2025-01-06,236.0,2025-01-09,2025-01-08,2025-01-10,1,0
252,2025-01-06,completed,,South,63.45,2025-01-06,237.0,2025-01-09,2025-01-08,2025-01-09,1,0
253,2025-01-06,completed,,South,150.27,2025-01-06,238.0,2025-01-09,2025-01-08,2025-01-10,1,0
254,2025-01-07,processing,,Central,248.52,2025-01-07,239.0,2025-01-09,2025-01-09,2025-01-11,1,0
255,2025-01-07,completed,,Central,152.53,2025-01-07,240.0,2025-01-10,2025-01-09,2025-01-12,1,0
256,2025-01-07,completed,,South,81.86,2025-01-07,241.0,2025-01-10,2025-01-10,2025-01-12,1,0
