alert_type,severity,entity,metric,details
delayed_shipment,high,order:155,2025-01-07,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:160,2025-01-07,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:167,2025-01-07,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:180,2025-01-07,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:182,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:183,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:184,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:186,2025-01-07,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:190,2025-01-07,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:202,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:204,2025-01-08,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:206,2025-01-07,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:207,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:208,2025-01-08,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:214,2025-01-07,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:217,2025-01-08,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:219,2025-01-08,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:220,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:228,2025-01-08,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:231,2025-01-08,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:235,2025-01-10,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:236,2025-01-08,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:240,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:243,2025-01-08,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:249,2025-01-08,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:259,2025-01-10,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:262,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:265,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:268,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:273,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:278,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:283,2025-01-10,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:287,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:288,2025-01-09,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:289,2025-01-10,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:291,2025-01-10,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:297,2025-01-10,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:301,2025-01-12,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:302,2025-01-10,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:305,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:307,2025-01-10,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:309,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:314,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:325,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:326,2025-01-10,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:328,2025-01-12,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:332,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:333,2025-01-13,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:336,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:338,2025-01-12,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:340,2025-01-12,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:341,2025-01-12,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:343,2025-01-12,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:346,2025-01-12,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:349,2025-01-12,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:351,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:352,2025-01-11,Shipment missed or is projected to miss its promised ship date.
delayed_shipment,high,order:355,2025-01-12,Shipment missed or is projected to miss its promised ship date.
low_inventory,high,product:10,2/29,Stock on hand is at or below reorder point.
low_inventory,high,product:11,11/23,Stock on hand is at or below reorder point.
low_inventory,high,product:12,4/26,Stock on hand is at or below reorder point.
low_inventory,high,product:13,46/47,Stock on hand is at or below reorder point.
low_inventory,high,product:19,25/34,Stock on hand is at or below reorder point.
low_inventory,high,product:22,27/49,Stock on hand is at or below reorder point.
low_inventory,high,product:32,7/46,Stock on hand is at or below reorder point.
low_inventory,high,product:33,1/24,Stock on hand is at or below reorder point.
low_inventory,high,product:41,0/28,Stock on hand is at or below reorder point.
product_data_missing,medium,product:48,required_field,One or more required product fields are missing.
sales_amount_anomaly,high,order:25/product:40,2429.76,Unit price is materially above the product baseline.
sales_drop,medium,product:17,-53.0%,Recent 14-day average GMV fell at least 35% versus the prior period.
