order_id,customer_id,order_date,ship_date,status
ORD-000181,CUST-90009,2025-09-02,2025-09-08,returned
ORD-000375,,2025-08-31,2025-09-04,returned
ORD-000133,CUST-00081,2025-02-12,2025-02-08,shipped
ORD-000342,CUST-00170,2026-04-28,2026-05-06,shipped
ORD-000438,CUST-00030,2026-01-20,2026-01-26,returned
ORD-000177,CUST-00010,2026-04-05,2026-04-14,completed
ORD-000311,CUST-00060,2025-05-21,2025-05-22,returned
ORD-000350,CUST-00068,2025-02-26,2025-03-05,returned
ORD-000486,CUST-00109,2026-05-10,2026-05-15,completed
order000138,CUST-00048,2026-03-26,2026-04-03,returned
ORD-000498,CUST-00030,2025-04-15,2025-04-12,processing
ORD-000272,CUST-00134,2025-07-19,2025-07-24,processing
ORD-000441,CUST-00085,2025-03-26,2025-03-30,cancelled
ORD-000354,CUST-00114,2025-03-16,2025-03-16,processing
ORD-000087,CUST-00108,2025-01-27,2025-02-05,processing
ORD-000076,CUST-00031,2025-04-04,2025-04-05,cancelled
ORD-000448,CUST-00134,2025-04-02,2025-04-07,completed
ORD-000016,CUST-00115,2026-01-03,2026-01-12,processing
ORD-000204,CUST-00172,2026-05-25,2026-05-30,processing
ORD-000275,CUST-00128,2025-05-02,2025-05-04,cancelled
ORD-000394,CUST-00099,2025-07-29,2025-08-04,returned
ORD-000020,CUST-00158,2025-12-27,2025-12-30,shipped
ORD-000454,CUST-00001,2025-03-06,2025-03-08,processing
ORD-000339,,2025-10-30,2025-11-04,shipped
ORD-000057,CUST-90011,2025-11-28,2025-11-28,processing
ORD-000334,CUST-00146,2026-04-03,2026-04-07,processing
ORD-000081,CUST-00186,2025-02-22,2025-02-26,processing
ORD-000239,CUST-00172,2025-02-26,2025-02-27,shipped
ORD-000406,CUST-00131,2025-06-23,2025-06-25,returned
ORD-000308,CUST-00055,2025-12-21,2025-12-28,processing
ORD-000469,CUST-00024,2026-02-23,2026-03-05,shipped
ORD-000432,CUST-00004,2026-02-03,2026-02-13,processing
ORD-000490,CUST-00172,2025-06-18,2025-06-21,shipped
ORD-000026,CUST-00034,2025-05-16,2025-05-24,returned
ORD-000366,CUST-00152,2025-10-10,2025-10-13,completed
ORD-000043,CUST-00017,2026-03-01,2026-03-11,cancelled
ORD-000141,CUST-00188,2025-02-23,2025-03-05,processing
ORD-000419,CUST-00199,2026-02-11,2026-02-12,cancelled
ORD-000317,CUST-00064,2026-05-03,2026-05-10,shipped
ORD-000127,CUST-00041,2026-03-27,2026-03-28,cancelled
ORD-000333,CUST-00028,2025-01-07,2025-01-11,shipped
ORD-000032,CUST-00069,2025-09-28,2025-10-06,cancelled
ORD-000114,CUST-00045,2025-06-25,2025-07-04,processing
ORD-000154,CUST-00088,2026-06-04,2026-06-12,returned
ORD-000212,CUST-00040,2026-02-20,2026-02-25,shipped
ORD-000423,CUST-00135,2026-05-03,2026-05-03,completed
ORD-000058,CUST-00088,2025-02-23,2025-02-25,cancelled
ORD-000267,CUST-00026,2025-02-21,2025-02-25,returned
ORD-000025,CUST-00025,2025-12-01,2025-12-07,shipped
ORD-000018,CUST-00058,2025-01-09,2025-01-18,completed
ORD-000186,CUST-00170,2026-03-03,2026-03-05,completed
ORD-000067,CUST-00129,2025-06-01,2025-06-02,processing
ORD-000403,CUST-00054,2025-09-09,2025-09-16,processing
ORD-000397,CUST-00029,2026-06-10,2026-06-17,completed
ORD-000095,CUST-00085,2025-03-28,2025-03-28,shipped
order000497,CUST-00021,2025-07-30,2025-08-03,completed
ORD-000355,,2025-03-07,2025-03-15,completed
ORD-000024,CUST-90013,2026-01-09,2026-01-11,processing
order000232,CUST-00134,2026-01-13,2026-01-20,shipped
ORD-000266,CUST-00023,2025-08-09,2025-08-18,completed
ORD-000209,CUST-00062,2025-06-20,2025-06-27,cancelled
ORD-000006,CUST-00025,2025-07-04,2025-07-06,completed
ORD-000117,CUST-00113,2025-03-22,2025-03-28,processing
ORD-000046,CUST-00058,2026-01-07,2026-01-08,processing
ORD-000395,CUST-00007,2025-11-26,2025-11-30,cancelled
ORD-000017,CUST-00033,2025-01-23,2025-02-02,processing
ORD-000473,CUST-00106,2026-06-03,2026-06-09,completed
ORD-000462,CUST-00097,2026-05-06,2026-05-11,cancelled
ORD-000004,CUST-00199,2025-10-28,2025-11-02,cancelled
ORD-000228,CUST-00053,2025-11-04,2025-11-06,shipped
ORD-000483,CUST-00011,2025-04-18,2025-04-22,completed
ORD-000061,CUST-00087,2026-06-10,2026-06-07,cancelled
ORD-000111,CUST-00187,2025-11-17,2025-11-26,returned
ORD-000325,CUST-00061,2026-04-25,2026-04-29,completed
ORD-000298,CUST-00163,2026-05-05,2026-05-13,processing
ORD-000030,CUST-00152,2025-08-20,2025-08-30,cancelled
ORD-000193,CUST-00023,2025-05-17,2025-05-17,returned
ORD-000465,CUST-00125,2026-02-07,2026-02-12,returned
ORD-000027,CUST-00094,2026-05-29,2026-06-02,processing
ORD-000008,CUST-00141,2026-05-25,2026-06-03,shipped
ORD-000463,CUST-00117,2025-11-23,2025-11-27,cancelled
ORD-000109,CUST-00088,2025-03-15,2025-03-21,completed
ORD-000038,CUST-00164,2025-04-30,2025-05-02,completed
ORD-000158,CUST-00164,2025-06-19,2025-06-26,cancelled
ORD-000477,CUST-00173,2026-02-14,2026-02-11,completed
ORD-000119,CUST-90003,2025-03-20,2025-03-28,completed
ORD-000115,CUST-00087,2025-04-01,2025-04-07,shipped
order000176,CUST-00072,2026-04-29,2026-05-01,cancelled
ORD-000195,CUST-00112,2026-05-06,2026-05-02,shipped
ORD-000319,CUST-00081,2025-04-02,2025-04-12,shipped
ORD-000145,CUST-00113,2025-05-25,2025-05-30,cancelled
ORD-000377,CUST-00084,2025-03-04,2025-03-12,shipped
ORD-000430,CUST-00147,2025-05-28,2025-06-03,processing
ORD-000205,CUST-00178,2025-03-26,2025-04-01,cancelled
ORD-000322,CUST-00116,2025-10-24,2025-10-24,processing
ORD-000363,CUST-00049,2025-11-02,2025-11-09,returned
ORD-000455,CUST-00159,2026-03-08,2026-03-12,completed
ORD-000142,CUST-00128,2025-03-09,2025-03-14,returned
ORD-000495,CUST-00084,2025-07-22,2025-07-29,cancelled
ORD-000068,CUST-00181,2025-11-29,2025-12-05,returned
ORD-000262,CUST-00107,2025-11-17,2025-11-20,shipped
ORD-000169,CUST-00040,2025-10-07,2025-10-14,shipped
ORD-000127,CUST-00041,2026-03-27,2026-03-28,cancelled
ORD-000384,CUST-00179,2026-04-20,2026-04-20,cancelled
ORD-000246,CUST-00070,2025-12-12,2025-12-21,completed
ORD-000194,CUST-00025,2025-12-13,2025-12-23,cancelled
ORD-000256,CUST-00068,2025-12-20,2025-12-26,processing
ORD-000110,CUST-00045,2026-03-23,2026-03-23,completed
ORD-000488,CUST-00002,2025-11-04,2025-11-04,completed
ORD-000146,CUST-00002,2025-05-13,2025-05-22,completed
ORD-000093,CUST-00037,2026-03-06,2026-03-13,shipped
ORD-000153,CUST-00115,2025-06-08,2025-06-09,completed
ORD-000229,CUST-00144,2026-01-06,2026-01-14,completed
ORD-000417,CUST-00061,2025-06-02,2025-06-05,returned
ORD-000084,CUST-00062,2025-08-18,2025-08-19,returned
ORD-000273,CUST-00151,2025-03-17,2025-03-23,cancelled
ORD-000166,CUST-00171,2025-09-14,2025-09-14,cancelled
ORD-000164,CUST-00183,2026-01-27,2026-02-04,cancelled
ORD-000200,CUST-00103,2025-10-20,2025-10-25,completed
ORD-000238,CUST-00173,2025-07-06,2025-07-08,returned
ORD-000075,CUST-00109,2025-06-06,2025-06-16,completed
ORD-000315,CUST-00093,2025-04-13,2025-04-23,shipped
ORD-000223,,2026-04-02,2026-04-05,processing
ORD-000480,CUST-00199,2025-08-15,2025-08-22,cancelled
ORD-000120,CUST-00061,2026-06-28,2026-07-06,processing
ORD-000287,CUST-00133,2025-11-12,2025-11-22,returned
ORD-000305,CUST-00081,2025-10-22,2025-10-23,returned
ORD-000425,CUST-00128,2025-12-06,2025-12-15,returned
ORD-000361,CUST-00005,2025-07-02,2025-07-10,returned
ORD-000408,CUST-00147,2026-06-21,2026-06-21,completed
ORD-000235,CUST-00078,2025-03-17,2025-03-19,completed
ORD-000381,CUST-00027,2026-02-23,2026-02-25,cancelled
ORD-000479,CUST-00185,2026-06-07,2026-06-15,returned
ORD-000391,CUST-00006,2025-08-11,2025-08-18,processing
ORD-000279,CUST-00053,2025-02-09,2025-02-11,processing
ORD-000037,CUST-00064,2026-04-21,2026-04-25,cancelled
ORD-000197,CUST-00169,2025-07-26,2025-07-26,completed
ORD-000140,CUST-00180,2026-02-01,2026-02-07,processing
ORD-000372,CUST-00101,2025-08-11,2025-08-11,returned
ORD-000254,CUST-00037,2026-04-21,2026-04-24,returned
ORD-000290,CUST-00073,2025-06-24,2025-07-02,returned
ORD-000291,,2026-01-25,2026-01-27,shipped
ORD-000060,CUST-00103,2026-05-03,2026-05-10,processing
ORD-000112,CUST-00011,2026-02-19,2026-02-13,processing
ORD-000090,CUST-00108,2025-05-27,2025-06-05,cancelled
ORD-000269,CUST-00077,2025-04-21,2025-04-27,processing
ORD-000007,CUST-00022,2026-01-27,2026-02-05,shipped
ORD-000368,CUST-00091,2025-01-17,2025-01-20,completed
ORD-000352,CUST-00102,2026-04-19,2026-04-29,completed
order000393,CUST-00032,2025-05-01,2025-05-08,returned
ORD-000159,CUST-00131,2026-01-09,2026-01-19,shipped
ORD-000151,CUST-00154,2025-11-13,2025-11-15,processing
ORD-000178,CUST-00119,2025-01-20,2025-01-24,shipped
ORD-000422,CUST-00007,2025-04-06,2025-04-12,cancelled
ORD-000185,CUST-00023,2025-01-02,2025-01-11,shipped
ORD-000288,CUST-00055,2026-05-01,2026-05-05,returned
ORD-000011,CUST-00106,2025-10-22,2025-11-01,shipped
ORD-000389,CUST-00163,2025-02-22,2025-02-26,returned
ORD-000104,CUST-00107,2025-08-05,2025-08-07,processing
ORD-000082,CUST-00035,2025-12-27,2025-12-28,returned
ORD-000039,CUST-00125,2025-11-08,2025-11-15,completed
ORD-000321,CUST-00026,2025-02-07,2025-02-13,shipped
ORD-000199,CUST-00182,2026-04-30,2026-05-04,shipped
ORD-000263,CUST-00029,2026-05-26,2026-06-03,cancelled
ORD-000147,CUST-00163,2025-11-14,2025-11-13,processing
ORD-000401,CUST-00085,2026-03-04,2026-03-08,shipped
ORD-000148,CUST-00038,2025-05-11,2025-05-21,returned
ORD-000313,CUST-00177,2025-08-20,2025-08-17,completed
ORD-000292,CUST-00038,2025-02-02,2025-02-11,completed
ORD-000124,CUST-90004,2025-07-01,2025-06-26,cancelled
ORD-000376,CUST-00027,2025-08-15,2025-08-21,processing
ORD-000097,CUST-00114,2026-03-30,2026-04-09,cancelled
ORD-000144,CUST-00178,2025-06-03,2025-06-08,returned
ORD-000240,CUST-00200,2025-11-08,2025-11-10,processing
ORD-000278,CUST-00070,2026-02-16,2026-02-09,completed
ORD-000098,CUST-00140,2026-03-29,2026-04-04,shipped
ORD-000357,CUST-00015,2025-07-04,2025-07-06,cancelled
ORD-000123,CUST-00085,2025-06-27,2025-07-06,completed
ORD-000184,CUST-00120,2025-09-05,2025-09-07,cancelled
ORD-000203,CUST-00030,2026-01-31,2026-02-05,cancelled
ORD-000247,CUST-00171,2025-03-25,2025-03-25,returned
ORD-000312,CUST-00168,2025-09-03,2025-09-06,returned
ORD-000415,CUST-00155,2025-10-21,2025-10-21,cancelled
ORD-000358,CUST-00071,2026-01-19,2026-01-25,cancelled
ORD-000306,CUST-00110,2026-01-24,2026-01-30,shipped
ORD-000404,CUST-00152,2025-09-21,2025-09-28,cancelled
ORD-000383,CUST-00002,2025-08-19,2025-08-23,shipped
ORD-000126,CUST-00003,2025-11-27,2025-11-22,shipped
ORD-000489,CUST-00188,2025-01-24,2025-01-29,completed
ORD-000224,CUST-00069,2026-05-18,2026-05-21,shipped
ORD-000427,CUST-00164,2026-05-02,2026-05-06,completed
ORD-000220,CUST-00117,2025-04-27,2025-04-27,shipped
ORD-000130,CUST-00182,2026-04-18,2026-04-25,completed
ORD-000429,CUST-00067,2025-07-03,2025-06-27,shipped
ORD-000485,CUST-00091,2025-12-18,2025-12-25,returned
ORD-000335,CUST-00055,2025-01-12,2025-01-16,processing
ORD-000385,CUST-00183,2026-03-03,2026-03-11,shipped
ORD-000410,CUST-00116,2025-03-11,2025-03-13,shipped
ORD-000362,CUST-00016,2025-05-11,2025-05-14,completed
order000300,CUST-00093,2025-12-29,2025-12-24,processing
ORD-000295,CUST-00180,2026-02-25,2026-03-05,returned
ORD-000374,CUST-00186,2025-11-23,2025-12-02,processing
ORD-000347,CUST-00118,2025-06-03,2025-06-05,returned
ORD-000113,CUST-00046,2025-04-28,2025-05-04,processing
ORD-000180,CUST-00069,2025-09-01,2025-09-05,completed
ORD-000478,CUST-00043,2025-01-11,2025-01-12,shipped
ORD-000353,CUST-00016,2026-02-10,2026-02-14,shipped
ORD-000337,CUST-00083,2026-04-22,2026-04-26,cancelled
ORD-000492,CUST-00149,2026-04-19,2026-04-22,shipped
ORD-000405,CUST-00100,2026-04-17,2026-04-19,processing
ORD-000234,CUST-00148,2026-05-06,2026-05-14,cancelled
ORD-000457,,2025-07-20,2025-07-27,shipped
ORD-000318,CUST-00042,2025-10-22,2025-10-27,completed
ORD-000165,CUST-00090,2025-06-15,2025-06-18,shipped
ORD-000137,CUST-00002,2025-02-10,2025-02-13,cancelled
ORD-000198,CUST-00040,2025-11-20,2025-11-24,cancelled
ORD-000259,CUST-00141,2026-04-06,2026-04-09,completed
ORD-000233,CUST-00113,2025-03-30,2025-03-31,cancelled
ORD-000116,CUST-00105,2026-03-23,2026-04-01,returned
ORD-000121,CUST-00139,2025-12-26,2026-01-05,shipped
ORD-000356,CUST-00042,2026-04-29,2026-04-29,cancelled
ORD-000225,CUST-00025,2025-03-17,2025-03-24,cancelled
order000411,CUST-00199,2026-06-02,2026-06-09,completed
ORD-000439,CUST-00093,2026-01-25,2026-01-26,returned
ORD-000128,CUST-00084,2025-11-07,2025-11-11,completed
ORD-000286,CUST-00136,2025-12-06,2025-12-16,cancelled
ORD-000433,CUST-00161,2026-01-29,2026-01-31,completed
ORD-000108,CUST-00059,2026-05-28,2026-06-05,processing
ORD-000378,CUST-00026,2026-03-14,2026-03-22,completed
ORD-000332,,2025-05-24,2025-05-31,shipped
ORD-000134,CUST-00109,2025-11-26,2025-12-05,returned
ORD-000371,CUST-00177,2026-02-16,2026-02-23,returned
ORD-000045,CUST-00157,2025-08-11,2025-08-18,shipped
ORD-000471,CUST-00056,2026-03-10,2026-03-16,cancelled
ORD-000066,CUST-00047,2025-03-17,2025-03-18,returned
ORD-000284,CUST-00160,2026-06-06,2026-06-14,returned
ORD-000086,CUST-00179,2025-08-20,2025-08-26,returned
order000243,CUST-00018,2025-10-09,2025-10-11,processing
ORD-000187,CUST-00080,2026-06-21,2026-06-26,returned
ORD-000392,CUST-00154,2025-11-07,2025-11-07,shipped
ORD-000160,CUST-00166,2026-03-31,2026-04-09,cancelled
ORD-000013,CUST-00114,2025-11-03,2025-11-13,processing
ORD-000036,CUST-00194,2025-12-02,2025-12-11,completed
ORD-000029,CUST-00147,2025-04-28,2025-05-05,shipped
ORD-000171,CUST-00011,2025-12-24,2025-12-24,completed
ORD-000143,CUST-00036,2026-01-31,2026-02-04,returned
ORD-000407,CUST-00004,2026-05-16,2026-05-18,completed
ORD-000447,CUST-00175,2026-06-09,2026-06-15,completed
ORD-000222,CUST-00180,2025-05-01,2025-05-05,processing
ORD-000096,CUST-00178,2025-02-20,2025-03-02,processing
ORD-000052,CUST-90014,2025-08-01,2025-08-10,shipped
ORD-000241,CUST-00172,2025-08-19,2025-08-24,processing
ORD-000399,CUST-00164,2025-11-17,2025-11-23,returned
ORD-000387,CUST-00178,2025-12-05,2025-12-15,cancelled
ORD-000179,CUST-00136,2026-06-25,2026-07-01,processing
ORD-000042,CUST-00075,2026-03-06,2026-03-15,shipped
ORD-000445,CUST-00096,2025-04-15,2025-04-17,shipped
ORD-000396,CUST-00043,2026-01-03,2026-01-07,processing
ORD-000207,CUST-00118,2025-04-16,2025-04-17,processing
ORD-000283,,2025-11-03,2025-11-12,returned
ORD-000255,CUST-00150,2025-05-28,2025-06-02,processing
ORD-000421,CUST-90008,2025-11-04,2025-11-14,completed
ORD-000005,CUST-00183,2025-05-30,2025-06-02,cancelled
ORD-000257,CUST-00087,2026-06-12,2026-06-20,processing
ORD-000458,CUST-00033,2025-11-08,2025-11-08,processing
ORD-000101,CUST-00170,2026-05-14,2026-05-22,processing
ORD-000227,CUST-00004,2025-03-08,2025-03-16,processing
ORD-000045,CUST-00157,2025-08-11,2025-08-18,shipped
ORD-000214,CUST-00080,2025-02-05,2025-02-07,shipped
ORD-000437,CUST-00191,2026-04-07,2026-04-14,processing
ORD-000172,CUST-90001,2026-02-10,2026-02-18,shipped
ORD-000099,CUST-00110,2026-06-09,2026-06-10,cancelled
ORD-000293,CUST-00184,2025-07-15,2025-07-15,processing
ORD-000216,CUST-00085,2025-02-03,2025-02-12,cancelled
ORD-000062,CUST-00060,2026-05-31,2026-06-03,completed
ORD-000048,CUST-00065,2025-07-14,2025-07-09,completed
ORD-000033,CUST-00122,2026-01-13,2026-01-23,processing
ORD-000268,CUST-00142,2026-04-27,2026-05-01,completed
ORD-000328,CUST-00049,2025-10-30,2025-11-08,shipped
ORD-000201,CUST-00069,2025-12-06,2025-12-10,processing
ORD-000456,CUST-00013,2026-01-05,2026-01-09,cancelled
order000028,CUST-00122,2026-05-09,2026-05-13,processing
ORD-000398,CUST-00091,2026-04-26,2026-05-01,processing
ORD-000231,CUST-00134,2025-01-27,2025-02-01,returned
ORD-000261,CUST-00083,2026-03-05,2026-03-08,processing
ORD-000379,CUST-00059,2025-12-19,2025-12-29,cancelled
ORD-000289,CUST-00111,2025-08-22,2025-08-22,cancelled
ORD-000163,CUST-00015,2026-03-28,2026-04-04,processing
ORD-000434,CUST-00153,2026-05-28,2026-06-02,completed
ORD-000139,CUST-00199,2025-06-12,2025-06-17,processing
ORD-000063,CUST-00045,2026-06-18,2026-06-22,completed
ORD-000136,CUST-00151,2025-12-18,2025-12-19,shipped
ORD-000129,CUST-00056,2025-12-27,2026-01-04,processing
ORD-000487,CUST-00078,2026-03-25,2026-04-01,completed
ORD-000009,CUST-00121,2026-04-18,2026-04-28,cancelled
ORD-000327,CUST-00079,2025-09-21,2025-09-23,processing
ORD-000474,CUST-00181,2026-01-04,2026-01-12,completed
ORD-000065,CUST-00053,2025-04-21,2025-04-28,cancelled
ORD-000301,CUST-00013,2026-05-11,2026-05-14,processing
ORD-000015,CUST-00174,2026-05-10,2026-05-11,cancelled
ORD-000157,CUST-00197,2025-06-16,2025-06-18,returned
ORD-000041,CUST-00059,2026-04-10,2026-04-15,returned
ORD-000380,CUST-90005,2026-06-22,2026-06-27,cancelled
ORD-000470,CUST-00036,2025-11-07,2025-11-10,shipped
ORD-000412,CUST-00124,2026-05-10,2026-05-20,completed
ORD-000217,CUST-00157,2026-01-15,2026-01-20,completed
ORD-000280,CUST-00065,2026-05-01,2026-04-24,shipped
ORD-000482,CUST-00133,2025-06-04,2025-06-09,cancelled
ORD-000440,CUST-00053,2025-10-30,2025-11-02,completed
ORD-000338,CUST-00161,2026-05-30,2026-06-03,completed
ORD-000237,CUST-00103,2025-12-19,2025-12-21,returned
ORD-000208,CUST-00090,2025-11-10,2025-11-17,cancelled
ORD-000213,CUST-00009,2025-02-01,2025-02-03,cancelled
ORD-000296,CUST-00193,2026-04-28,2026-04-28,shipped
ORD-000500,CUST-00160,2025-09-26,2025-10-06,returned
ORD-000252,CUST-00056,2025-11-01,2025-11-08,completed
ORD-000499,CUST-00045,2025-11-30,2025-11-23,completed
ORD-000468,CUST-00197,2026-03-25,2026-03-29,completed
ORD-000304,CUST-90012,2025-12-24,2026-01-01,processing
ORD-000351,CUST-00190,2026-03-02,2026-03-09,completed
ORD-000270,CUST-00034,2026-01-10,2026-01-16,completed
ORD-000202,CUST-00075,2026-03-24,2026-03-30,cancelled
ORD-000162,CUST-00012,2026-04-26,2026-04-29,returned
ORD-000044,CUST-00074,2026-02-22,2026-02-26,processing
ORD-000218,CUST-90002,2025-05-21,2025-05-29,cancelled
ORD-000402,CUST-00007,2025-12-04,2025-12-07,returned
ORD-000191,CUST-00110,2026-01-01,2026-01-02,shipped
ORD-000310,CUST-00130,2025-10-05,2025-10-13,processing
ORD-000260,,2025-02-21,2025-02-25,returned
ORD-000106,CUST-00025,2026-05-25,2026-05-31,shipped
ORD-000054,CUST-00068,2025-10-11,2025-10-13,returned
ORD-000390,CUST-00020,2025-02-10,2025-02-11,returned
ORD-000002,CUST-00197,2026-03-31,2026-04-02,processing
ORD-000451,CUST-00048,2025-09-06,2025-09-15,shipped
ORD-000493,CUST-00108,2025-07-10,2025-07-20,cancelled
ORD-000050,CUST-00086,2025-01-22,2025-01-22,shipped
ORD-000420,CUST-00032,2026-04-16,2026-04-25,shipped
ORD-000081,CUST-00186,2025-02-22,2025-02-26,processing
ORD-000206,CUST-00115,2025-07-04,2025-07-12,processing
ORD-000035,CUST-00133,2025-08-28,2025-09-04,returned
ORD-000431,CUST-00099,2025-06-16,2025-06-25,returned
ORD-000264,CUST-00046,2025-11-12,2025-11-19,completed
ORD-000428,CUST-00190,2025-10-15,2025-10-23,completed
ORD-000367,CUST-00063,2025-02-02,2025-02-12,returned
ORD-000092,CUST-00119,2025-04-04,2025-04-12,cancelled
ORD-000340,CUST-00126,2025-08-13,2025-08-15,shipped
ORD-000484,CUST-00062,2025-04-29,2025-05-01,processing
ORD-000053,CUST-00181,2025-12-03,2025-12-05,completed
ORD-000346,,2025-03-05,2025-03-13,shipped
